uberColorU uberColorG uberColorR uberColorI
1.896633 0.9257526 0.3932648 0.3052731
1.006668 0.3481388 0.2845573 0.1241589
1.546167 0.8011475 0.4549713 0.3795166
1.078995 0.4651585 0.2599316 0.2014046
1.161026 0.6344872 0.3367138 0.2409992
1.654121 0.8368587 0.4378719 0.3452225
1.499432 0.7180748 0.3698273 0.2344437
1.805807 1.110195 0.5389538 0.3341808
0.9860058 0.3184776 0.2689896 0.1297398
1.870392 0.9305439 0.4977932 0.4014702
1.251144 0.638752 0.355896 0.2494678
1.048229 0.4056511 0.2586308 0.1897011
1.981468 1.062735 0.4331169 0.3605127
1.324223 0.6518059 0.4048004 0.3066006
1.84112 0.8813629 0.4015942 0.336359
1.292261 0.7279682 0.378355 0.2671432
1.446259 0.6807671 0.361866 0.26404
1.015476 0.570673 0.3834171 0.1662636
1.582933 1.117231 0.4711552 0.35186
1.48168 0.6717243 0.3861771 0.313179
1.051931 0.2928982 0.2080307 0.08219528
1.467129 0.8482037 0.4734402 0.2871685
1.841639 0.9497528 0.4326172 0.3418751
1.996275 0.9201984 0.4177723 0.3428364
1.671282 0.8466511 0.4012909 0.269659
1.85675 0.9179325 0.415657 0.3200283
1.857792 1.178455 0.4662476 0.350523
2.089886 0.8787975 0.4089031 0.2883987
1.830372 0.8701172 0.3970795 0.2912712
1.850206 0.9007607 0.3767548 0.3078613
1.239614 0.6133957 0.3468609 0.2458763
1.308384 0.7157269 0.389389 0.2525673
0.8926487 0.3414078 0.2984066 0.1245289
1.853291 0.9423065 0.3927879 0.3750906
1.997875 0.9916401 0.4125214 0.3546963
1.925447 1.0177 0.4086266 0.3950081
1.090504 0.56003 0.3666611 0.2066822
1.720074 0.8040314 0.3943405 0.31989
1.663019 0.9649258 0.4197102 0.2873611
1.155802 0.3865013 0.1661844 0.04829502
1.519045 0.7544003 0.4122887 0.279295
1.583773 0.8310928 0.4257374 0.2070217
1.891737 1.111475 0.4600086 0.3452377
1.362251 0.6852894 0.3616619 0.2464733
1.342888 0.7604008 0.4084835 0.3169775
1.33987 0.6261806 0.3250942 0.1663303
1.115751 0.4000912 0.1993504 0.1330471
0.9572849 0.3816776 0.3159275 0.1938438
1.906233 0.9797344 0.4291859 0.3425388
1.754192 1.062046 0.4719906 0.3312397
2.122471 1.230869 0.4939938 0.3111515
1.496981 0.9843521 0.4453259 0.3308449
1.753363 0.7828875 0.3944597 0.2763929
1.887531 0.8853474 0.411335 0.3020668
2.136412 1.223969 0.5154381 0.2307758
1.923925 1.051249 0.4342823 0.3268528
1.750355 0.8121166 0.3772125 0.3289814
1.346008 0.6390343 0.3675518 0.2559614
1.824354 0.9947662 0.4842567 0.3232784
1.652336 0.7128773 0.2781906 0.2335014
1.717703 1.051325 0.4360657 0.306282
1.277571 0.7413826 0.4101009 0.2898216
1.26779 0.992239 0.4857998 0.2872429
1.346655 0.6604252 0.3048954 0.2513332
1.322838 0.739603 0.3870983 0.2678089
1.400879 0.525444 0.3244457 0.2018795
1.387503 0.4568863 0.2215042 0.0815258
1.644564 0.7697601 0.3986197 0.287468
1.486776 0.7978745 0.4013939 0.267437
1.311869 0.606411 0.346796 0.2377586
1.876001 1.108461 0.4691219 0.3419266
1.252302 0.7045078 0.3914852 0.2463112
0.9008617 0.3641005 0.1760149 0.1562977
1.321884 0.6618214 0.3752642 0.2591324
1.509054 0.8838825 0.428215 0.3360233
1.318886 0.5662518 0.3462334 0.1653748
1.673441 1.014326 0.4083042 0.3210621
1.848862 0.8741322 0.3967571 0.255003
1.961628 0.9161644 0.4186878 0.3338146
1.659571 0.9617443 0.4267464 0.3170519
1.836349 1.021275 0.4385567 0.349823
1.944723 1.090502 0.507637 0.3822098
1.541842 0.7669182 0.4531136 0.317194
1.667824 0.8155251 0.3963146 0.3062782
1.125969 0.5220623 0.2540741 0.2316742
1.864218 0.9268055 0.4230537 0.3735828
1.930573 0.8804073 0.4043121 0.3065605
1.637814 0.8572216 0.4238605 0.3168468
0.9826031 0.457531 0.3122597 0.1353302
1.316307 0.7000179 0.3655186 0.211874
1.243364 0.660017 0.3623409 0.226469
1.280699 0.683176 0.382515 0.234642
1.928593 1.275862 0.4788818 0.2984486
1.467636 0.8024673 0.3671341 0.3143616
1.377661 0.7090092 0.3841991 0.2665291
1.56946 1.042881 0.422657 0.3264618
1.184954 0.4618626 0.3018246 0.1698666
1.979 1.231775 0.4363899 0.3662529
1.547104 1.15291 0.4340439 0.3758087
2.001987 0.9174347 0.4211607 0.3235369
1.856005 1.024624 0.4426136 0.338726
1.801439 1.045856 0.4458714 0.3702211
2.095448 1.1089 0.4881039 0.3325157
1.926043 0.9098625 0.5024433 0.4407005
1.761084 0.7783318 0.3451424 0.3088093
1.641336 0.7558212 0.3502617 0.276515
2.03635 0.9037762 0.4326878 0.1951828
1.686913 1.113766 0.4495487 0.395731
1.834103 1.052391 0.4715118 0.3653088
1.24415 0.5590448 0.3230238 0.2272406
1.865017 0.9395924 0.4197826 0.3332434
1.121525 0.530344 0.4366798 0.226656
1.782232 0.8123093 0.3376389 0.3037872
1.524626 0.7490959 0.4342289 0.2974091
1.878933 0.9178524 0.3969479 0.3668156
1.77821 1.21562 0.4775047 0.313839
1.778637 0.9822559 0.5058956 0.4088202
1.531441 0.7540836 0.4024401 0.2898474
1.677309 0.8913956 0.3752098 0.351408
1.697659 0.7623997 0.3803606 0.2947178
