uberColorU uberColorG uberColorR uberColorI
0.979784 0.4238167 0.2874546 0.2134809
1.736628 0.9770412 0.437849 0.3419285
1.429592 0.7690601 0.3824997 0.2892323
1.246918 0.3911171 0.2105484 0.1843319
0.9174156 0.3128757 0.2386417 0.1003933
1.343685 0.728035 0.3823128 0.251462
1.314495 0.6750374 0.3682213 0.2552948
1.411873 0.6310654 0.354744 0.236105
1.516197 0.663084 0.3954792 0.2853765
2.018879 1.024303 0.40695 0.3020153
1.750355 0.8920689 0.3676739 0.2955246
2.117716 1.003069 0.4684238 0.3267956
2.030865 0.976099 0.4192524 0.338974
1.510231 0.6856937 0.3979206 0.2421331
1.462593 0.8597393 0.404398 0.2671223
1.082172 0.4876862 0.3638706 0.1655293
1.30932 0.6161785 0.2903481 0.2073956
1.758482 1.021559 0.4712429 0.3546486
1.667128 0.8279953 0.3943119 0.2751579
2.077339 1.027533 0.3895283 0.3138981
1.003405 0.4729958 0.3345165 0.191349
1.591488 0.8092499 0.4144115 0.2730703
1.105989 0.3335876 0.1756268 0.09351921
1.793407 0.8336678 0.4149475 0.3339748
1.489208 0.656414 0.3383331 0.2268448
1.980783 0.9174271 0.4140491 0.35182
1.948643 1.074884 0.4242973 0.3324165
1.90914 0.9237843 0.40201 0.3293953
1.120739 0.6084976 0.3407421 0.2059803
1.874792 1.009998 0.4144268 0.3421726
1.792963 0.8867245 0.3789902 0.2622986
1.226805 0.6125412 0.3275528 0.2427988
1.801409 0.92416 0.3889179 0.2951527
1.907572 0.8728218 0.4040947 0.3053465
1.461962 0.6762276 0.384182 0.2557869
1.744587 0.9122524 0.4235592 0.3285856
1.536961 0.6682358 0.3555279 0.2657948
1.765734 0.9129772 0.3754997 0.3193474
1.398315 0.846529 0.4467525 0.3286076
1.92705 0.8908262 0.401906 0.2942581
1.480547 0.7628479 0.4647179 0.331852
1.032482 0.4455891 0.3620567 0.1769466
1.908161 1.122231 0.4820366 0.3204002
1.836777 0.8930016 0.4090767 0.3425093
1.728493 0.8603611 0.403986 0.321126
1.966696 0.932415 0.4207745 0.3275661
1.066965 0.4767342 0.3729477 0.1241169
1.938084 0.8806725 0.3834724 0.3357258
1.959585 1.163845 0.4482403 0.3144398
1.786148 0.8480015 0.3852768 0.3047647
1.891005 1.019987 0.4416599 0.3588142
1.67037 0.8275986 0.4353657 0.2916584
1.305506 0.6955986 0.4725637 0.303627
1.114407 0.5936966 0.3473415 0.1286507
1.765301 0.8026447 0.3411484 0.2234936
2.090729 0.990715 0.3852234 0.3487988
1.782375 0.9886398 0.5262794 0.3882542
1.857401 1.228029 0.4733143 0.3900509
1.563202 0.9241276 0.3958359 0.2873211
1.817177 0.912302 0.455925 0.3451719
1.570255 0.593029 0.3370762 0.2623539
1.497513 0.8862782 0.4328423 0.3220558
1.227591 0.6953583 0.3642673 0.308588
1.713402 0.9437027 0.3798428 0.3355007
1.801105 1.192106 0.4694157 0.3190022
2.258802 1.159197 0.3944225 0.398243
1.262434 0.6354198 0.3634062 0.2471628
1.413738 0.7207928 0.3674412 0.2882233
1.939186 1.047829 0.4707394 0.3441734
0.9960804 0.3277512 0.2288303 0.1070557
1.504097 0.8814716 0.3922729 0.3591404
1.513914 0.7327557 0.4063816 0.3745804
2.067575 0.9313717 0.3847046 0.3417263
1.781712 0.850399 0.3668022 0.2957268
1.175169 0.5515919 0.3677082 0.1974583
1.11405 0.5417271 0.354845 0.2348232
1.782452 0.7776356 0.3351803 0.20364
1.287178 0.5465622 0.2786207 0.2076616
1.198092 0.5163212 0.3197193 0.2102709
1.487352 0.7952309 0.4048862 0.3583221
1.909918 0.9274387 0.4777908 0.4038439
1.269459 0.4591541 0.2693691 0.1459694
1.827408 1.022457 0.4231682 0.3458548
1.986124 0.8925371 0.4066639 0.3172827
1.815857 1.191408 0.4072285 0.2827148
1.708866 0.9385242 0.4174938 0.3443623
1.487175 0.6892281 0.3356419 0.2235022
1.013062 0.4514961 0.2810125 0.2325258
1.740879 0.8468742 0.368494 0.3270721
1.832544 0.8226585 0.3984489 0.3235588
-0.4795704 -0.8980122 2.074707 -0.1974812
1.413515 0.8349285 0.4766369 0.3467045
0.9938717 0.5142746 0.3574066 0.1667213
1.755913 0.7056541 0.3421707 0.3021202
1.698553 0.740324 0.3593216 0.2906265
1.443083 0.8367882 0.428627 0.343317
2.053257 1.05304 0.4426346 0.3375416
1.133339 0.5772724 0.3672962 0.2221909
1.666889 0.9458866 0.4457474 0.3306675
1.83827 1.126495 0.416853 0.3351192
1.857872 0.9971848 0.4061508 0.2998447
1.554073 0.6562672 0.3442421 0.2403812
1.278917 0.6032352 0.3008928 0.2333784
1.557886 0.8978596 0.4685688 0.3733215
1.865229 1.110434 0.4029503 0.2713509
1.416885 0.5970078 0.2785006 0.2139215
1.47047 0.6934738 0.3882599 0.2979336
1.840706 1.001648 0.4149418 0.3021317
