SpecObjID ObjID Red zSpec extinctionU extinctionG extinctionR extinctionI extinctionZ uberColorU uberColorG uberColorR uberColorI ModelMagErr_U ModelMagErr_G ModelMagErr_R ModelMagErr_I ModelMagErr_Z
75375475622412288 587728949583741070 0 0.0803884 0.2604962 0.1916706 0.1390155 0.1054112 0.07473789 1.887445 0.9103451 0.3992634 0.305541 0.05444162 0.006645201 0.004689435 0.004671415 0.009316267
76502556758507520 587728949586624634 0 0.0952927 0.2194322 0.1614561 0.1171015 0.08879449 0.0629564 2.089666 0.9121361 0.3945026 0.3236084 0.07941998 0.007353374 0.005321095 0.005500513 0.01160103
77628572159705088 587728949589180686 0 0.125597 0.2691877 0.1980657 0.1436538 0.1089283 0.07723154 1.933336 0.9906864 0.4247475 0.3449421 0.08686335 0.008461414 0.006004459 0.006052481 0.01260722
77347110692847616 587728949589180605 0 0.0947419 0.2784225 0.2048606 0.148582 0.1126653 0.07988106 1.693693 0.8287582 0.4097233 0.3014402 0.05561738 0.006449177 0.004723058 0.005057238 0.01163057
76221193362866176 587728950122512569 0 0.09795 0.1956289 0.1439419 0.1043987 0.07916234 0.05612709 1.891453 0.9189663 0.4790115 0.3609619 0.1947895 0.01475488 0.01044203 0.009720585 0.02316565
76502556053864448 587728950122971305 0 0.110749 0.2065778 0.151998 0.1102416 0.08359288 0.0592684 1.975758 0.9420948 0.4649715 0.3722801 0.2236194 0.01470671 0.00947768 0.009938925 0.02432553
76784280914624512 587728950124216483 0 0.0217622 0.2504122 0.1842509 0.1336341 0.1013307 0.07184473 0.8396778 0.3400269 0.1745319 0.1790714 0.02421057 0.007111658 0.005857858 0.00759023 0.01705701
77347110894174208 587728950126117003 0 0.117527 0.239703 0.1763712 0.1279191 0.09699719 0.06877222 1.163004 0.616991 0.3351421 0.2324657 0.07457958 0.010131 0.008625033 0.009859608 0.0268155
77628572067430400 587728950126182539 0 0.1158 0.2305075 0.1696052 0.1230119 0.09327617 0.06613397 1.906027 0.9706135 0.4302635 0.3569241 0.1232643 0.009963887 0.007024817 0.007242446 0.01541866
76221192217821184 588848898826764473 0 0.079562 0.2426684 0.1785531 0.1295016 0.09819715 0.069623 1.213579 0.5503216 0.3362198 0.1920128 0.04616361 0.009273567 0.007193576 0.007840564 0.02075351
76221191181828096 588848898827419785 0 0.0440174 0.207819 0.1529113 0.110904 0.08409515 0.05962451 1.798697 0.7502489 0.3445101 0.2839098 0.0315708 0.005525889 0.003993751 0.004142254 0.007907132
75939720550416384 588848898826502320 0 0.0434584 0.1957039 0.143997 0.1044387 0.07919268 0.0561486 1.676447 0.7408199 0.3628044 0.2850266 0.0404699 0.006654609 0.004793057 0.005394687 0.01116108
77347108763467776 588848898830106879 0 0.0873089 0.2733899 0.2011577 0.1458963 0.1106288 0.07843718 1.782249 0.9300041 0.4405231 0.3338661 0.05926342 0.007751166 0.005021769 0.005005313 0.01039913
75657055842598912 588848899362652365 0 0.0458929 0.1963354 0.1444617 0.1047757 0.07944825 0.05632979 1.244846 0.6051521 0.3251648 0.273962 0.03246172 0.006215937 0.005154733 0.005309073 0.01194837
